device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_3002EC,2025-04-11T18:18:00,354.96,0.02655,441.78,ON,31.44,30.31,-0.02699,763.1305,2327.536,30.89
ESP32_3002EC,2025-04-11T19:18:00,316.32,0.02636,448.84,ON,28.53,27.98,-0.02609,762.1885,2329.643,28.41
ESP32_3002EC,2025-04-11T20:18:00,345.1,0.02676,423.74,ON,26.63,26.0,-0.02574,762.1082,2308.017,26.17
ESP32_3002EC,2025-04-11T21:18:00,355.15,0.02637,442.21,OFF,,,,764.1165,2321.743,22.87
ESP32_3002EC,2025-04-11T22:18:00,326.95,0.02687,430.19,OFF,,,,766.9603,2330.838,21.47
ESP32_3002EC,2025-04-11T23:18:00,351.96,0.02696,431.71,OFF,,,,766.8022,2320.361,20.1
ESP32_3002EC,2025-04-12T00:18:00,353.32,0.02652,427.97,ON,38.8,37.63,-0.02552,764.8386,2328.413,37.98
ESP32_3002EC,2025-04-12T01:18:00,307.91,0.02613,424.56,ON,38.08,37.06,-0.02542,763.9549,2311.858,37.27
ESP32_3002EC,2025-04-12T02:18:00,300.73,0.02603,451.01,ON,37.81,35.7,-0.027,764.5843,2332.181,36.22
ESP32_3002EC,2025-04-12T03:18:00,309.98,0.02675,443.14,OFF,,,,762.319,2324.933,35.7
ESP32_3002EC,2025-04-12T04:18:00,320.9,0.02672,428.03,OFF,,,,764.3958,2330.034,35.3
ESP32_3002EC,2025-04-12T05:18:00,345.93,0.02638,440.33,OFF,,,,764.2487,2315.395,15.7
ESP32_3002EC,2025-04-12T06:18:00,360.79,0.02642,423.23,ON,17.28,15.86,-0.02678,763.8961,2314.82,16.86
ESP32_3002EC,2025-04-12T07:18:00,299.08,0.02605,448.9,ON,18.01,17.74,-0.02615,764.4775,2329.043,18.26
ESP32_3002EC,2025-04-12T08:18:00,364.68,0.027,453.75,ON,21.84,20.69,-0.02662,764.7088,2320.99,21.11
ESP32_3002EC,2025-04-12T09:18:00,299.41,0.0265,442.57,OFF,,,,765.824,2304.616,23.44
ESP32_3002EC,2025-04-12T10:18:00,349.82,0.02676,432.73,OFF,,,,762.5691,2327.739,26.7
ESP32_3002EC,2025-04-12T11:18:00,347.8,0.02633,430.96,OFF,,,,765.223,2304.98,29.51
ESP32_3002EC,2025-04-12T12:18:00,308.2,0.02605,432.27,ON,32.02,30.49,-0.02532,762.5036,2312.882,31.32
ESP32_3002EC,2025-04-12T13:18:00,319.84,0.02614,423.01,ON,34.46,33.7,-0.02682,764.018,2328.757,34.6
ESP32_3002EC,2025-04-12T14:18:00,350.84,0.027,426.94,ON,34.57,33.71,-0.02535,764.2678,2319.551,34.56
ESP32_3002EC,2025-04-12T15:18:00,303.06,0.02687,450.14,OFF,,,,763.7731,2313.193,34.2
ESP32_3002EC,2025-04-12T16:18:00,341.87,0.02611,449.4,OFF,,,,763.3322,2309.743,33.97
ESP32_3002EC,2025-04-12T17:18:00,364.87,0.02676,439.65,OFF,,,,763.2633,2310.437,31.48
ESP32_3002EC,2025-04-12T18:18:00,347.42,0.02689,446.33,ON,30.62,28.8,-0.02675,764.5815,2302.396,29.69
ESP32_3002EC,2025-04-12T19:18:00,331.84,0.02627,430.84,ON,28.16,27.52,-0.02508,763.4226,2331.652,27.41
ESP32_3002EC,2025-04-12T20:18:00,366.13,0.02681,445.74,ON,25.54,24.39,-0.02645,764.7433,2328.413,24.74
ESP32_3002EC,2025-04-12T21:18:00,305.69,0.02604,448.89,OFF,,,,762.0766,2326.148,22.05
ESP32_3002EC,2025-04-12T22:18:00,302.6,0.02642,446.55,OFF,,,,762.3589,2312.221,21.84
