device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_3002EC,2025-04-11T18:18:00,354.96,0.02655,441.78,ON,32.94,31.81,-0.02699,763.1305,2327.536,32.39
ESP32_3002EC,2025-04-11T19:18:00,316.32,0.02636,448.84,ON,32.04,30.3,-0.02609,762.1885,2329.643,30.8
ESP32_3002EC,2025-04-11T20:18:00,345.1,0.02676,423.74,ON,27.83,26.6,-0.02574,762.1082,2308.017,26.61
ESP32_3002EC,2025-04-11T21:18:00,355.15,0.02637,442.21,OFF,24.85,23.35,-0.02615,765.1843,2303.05,23.97
ESP32_3002EC,2025-04-11T22:18:00,326.95,0.02687,430.19,OFF,23.74,22.23,-0.02502,766.6512,2307.977,22.69
ESP32_3002EC,2025-04-11T23:18:00,351.96,0.02696,431.71,OFF,21.94,20.2,-0.02508,764.9615,2313.679,20.71
ESP32_3002EC,2025-04-12T00:18:00,353.32,0.02652,427.97,ON,20.52,19.33,-0.02552,764.8386,2328.413,19.82
ESP32_3002EC,2025-04-12T01:18:00,307.91,0.02613,424.56,ON,18.85,17.41,-0.02542,763.9549,2311.858,17.98
ESP32_3002EC,2025-04-12T02:18:00,300.73,0.02603,451.01,ON,17.3,16.18,-0.027,764.5843,2332.181,17.31
ESP32_3002EC,2025-04-12T03:18:00,309.98,0.02675,443.14,OFF,16.54,15.74,-0.02687,765.6989,2318.775,16.55
ESP32_3002EC,2025-04-12T04:18:00,320.9,0.02672,428.03,OFF,16.17,15.36,-0.02604,766.5216,2311.013,15.81
ESP32_3002EC,2025-04-12T05:18:00,345.93,0.02638,440.33,OFF,15.98,15.25,-0.0261,764.1606,2322.74,15.5
ESP32_3002EC,2025-04-12T06:18:00,360.79,0.02642,423.23,ON,16.38,14.96,-0.02678,763.8961,2314.82,15.96
ESP32_3002EC,2025-04-12T07:18:00,299.08,0.02605,448.9,ON,16.61,16.34,-0.02615,764.4775,2329.043,16.86
ESP32_3002EC,2025-04-12T08:18:00,364.68,0.027,453.75,ON,18.89,17.95,-0.02662,764.7088,2320.99,18.12
ESP32_3002EC,2025-04-12T09:18:00,299.41,0.0265,442.57,OFF,20.79,19.81,-0.02547,762.4219,2324.515,20.14
ESP32_3002EC,2025-04-12T10:18:00,349.82,0.02676,432.73,OFF,24.85,23.18,-0.02677,766.1515,2322.051,23.27
ESP32_3002EC,2025-04-12T11:18:00,347.8,0.02633,430.96,OFF,28.19,26.06,-0.02571,762.4807,2332.974,26.71
ESP32_3002EC,2025-04-12T12:18:00,308.2,0.02605,432.27,ON,30.19,28.75,-0.02532,762.5036,2312.882,29.85
ESP32_3002EC,2025-04-12T13:18:00,319.84,0.02614,423.01,ON,33.06,32.3,-0.02682,764.018,2328.757,33.2
ESP32_3002EC,2025-04-12T14:18:00,350.84,0.027,426.94,ON,35.02,33.59,-0.02535,764.2678,2319.551,34.05
ESP32_3002EC,2025-04-12T15:18:00,303.06,0.02687,450.14,OFF,35.62,34.47,-0.02629,763.8053,2311.541,34.9
ESP32_3002EC,2025-04-12T16:18:00,341.87,0.02611,449.4,OFF,35.28,34.2,-0.02647,763.2488,2305.249,34.07
ESP32_3002EC,2025-04-12T17:18:00,364.87,0.02676,439.65,OFF,34.81,33.11,-0.02649,763.3609,2331.573,34.3
ESP32_3002EC,2025-04-12T18:18:00,347.42,0.02689,446.33,ON,33.32,31.5,-0.02675,764.5815,2302.396,32.39
