device_id,timestamp,H2S,NH3,ph_value,aerator_status,rs485_temperature,ambient_temperature,level,pressure,altitude,temperature
ESP32_5DAEC4,2025-04-11T18:18:00,321.85,0.02609,445.45,ON,33.5,32.41,-0.02623,765.6022,2325.927,32.81
ESP32_5DAEC4,2025-04-11T19:18:00,300.09,0.02607,437.53,ON,32.07,30.8,-0.02546,763.3067,2306.384,31.47
ESP32_5DAEC4,2025-04-11T20:18:00,299.91,0.02686,436.49,ON,27.93,27.36,-0.02538,764.1831,2304.929,26.89
ESP32_5DAEC4,2025-04-11T21:18:00,354.91,0.02614,452.49,OFF,,,,764.7864,2311.462,24.44
ESP32_5DAEC4,2025-04-11T22:18:00,347.46,0.02692,437.36,OFF,,,,765.8641,2323.459,23.57
ESP32_5DAEC4,2025-04-11T23:18:00,345.11,0.02671,445.25,OFF,,,,764.4989,2309.213,21.41
ESP32_5DAEC4,2025-04-12T00:18:00,322.83,0.02661,447.81,ON,20.88,19.67,-0.02693,766.2467,2321.737,20.4
ESP32_5DAEC4,2025-04-12T01:18:00,344.85,0.02607,446.22,ON,18.78,17.88,-0.02604,763.8417,2329.456,18.28
ESP32_5DAEC4,2025-04-12T02:18:00,333.03,0.02655,432.37,ON,18.29,17.07,-0.02698,764.4733,2326.795,17.08
ESP32_5DAEC4,2025-04-12T03:18:00,325.17,0.02653,437.65,OFF,,,,763.4977,2319.86,16.75
ESP32_5DAEC4,2025-04-12T04:18:00,366.92,0.02683,426.26,OFF,,,,762.2321,2312.716,16.11
ESP32_5DAEC4,2025-04-12T05:18:00,314.85,0.02657,423.36,OFF,,,,765.0448,2328.016,16.02
ESP32_5DAEC4,2025-04-12T06:18:00,327.18,0.02657,442.61,ON,17.15,15.57,-0.02528,762.4983,2328.426,16.1
ESP32_5DAEC4,2025-04-12T07:18:00,358.11,0.02678,428.0,ON,18.46,16.52,-0.02559,763.7955,2317.962,16.93
ESP32_5DAEC4,2025-04-12T08:18:00,317.47,0.02614,434.54,ON,19.26,18.1,-0.02698,763.4927,2323.094,18.24
ESP32_5DAEC4,2025-04-12T09:18:00,332.04,0.02681,429.31,OFF,,,,762.6322,2319.801,20.62
ESP32_5DAEC4,2025-04-12T10:18:00,307.54,0.02691,439.77,OFF,,,,764.6263,2308.381,23.99
ESP32_5DAEC4,2025-04-12T11:18:00,336.51,0.02695,424.28,OFF,,,,764.861,2320.915,27.81
ESP32_5DAEC4,2025-04-12T12:18:00,352.29,0.02638,431.74,ON,30.49,29.85,-0.0256,764.4321,2310.844,30.32
ESP32_5DAEC4,2025-04-12T13:18:00,329.93,0.02619,424.84,ON,33.84,32.41,-0.02619,763.5048,2314.382,32.98
ESP32_5DAEC4,2025-04-12T14:18:00,318.12,0.02619,444.39,ON,35.28,34.03,-0.0257,765.2755,2307.816,35.01
ESP32_5DAEC4,2025-04-12T15:18:00,344.28,0.02667,431.98,OFF,,,,763.9434,2323.57,35.11
ESP32_5DAEC4,2025-04-12T16:18:00,303.83,0.02608,443.22,OFF,,,,764.642,2315.337,34.62
ESP32_5DAEC4,2025-04-12T17:18:00,319.56,0.0263,445.61,OFF,,,,765.2799,2314.159,34.58
ESP32_5DAEC4,2025-04-12T18:18:00,334.3,0.02678,428.78,ON,33.55,33.18,-0.02636,764.5294,2307.49,33.08
ESP32_5DAEC4,2025-04-12T19:18:00,302.72,0.02632,453.93,ON,31.57,30.04,-0.02656,765.4399,2324.829,30.34
ESP32_5DAEC4,2025-04-12T20:18:00,316.79,0.02696,429.26,ON,27.45,25.9,-0.02641,766.6632,2314.208,26.88
ESP32_5DAEC4,2025-04-12T21:18:00,356.24,0.02625,453.41,OFF,,,,762.726,2332.041,24.32
ESP32_5DAEC4,2025-04-12T22:18:00,361.49,0.02625,429.12,OFF,,,,763.0815,2315.304,22.66
ESP32_5DAEC4,2025-04-12T23:18:00,319.91,0.0261,448.72,OFF,,,,763.0182,2323.833,20.63
ESP32_5DAEC4,2025-04-13T00:18:00,318.22,0.02691,429.01,ON,20.06,19.05,-0.02517,762.5701,2303.98,19.19
ESP32_5DAEC4,2025-04-13T01:18:00,356.08,0.02673,433.57,ON,18.99,17.45,-0.02613,766.53,2303.159,18.36
ESP32_5DAEC4,2025-04-13T02:18:00,317.19,0.02646,435.68,ON,18.67,17.29,-0.02638,763.1144,2319.595,17.75
ESP32_5DAEC4,2025-04-13T03:18:00,328.14,0.02612,440.13,OFF,,,,765.4743,2303.117,17.13
ESP32_5DAEC4,2025-04-13T04:18:00,348.22,0.02641,435.94,OFF,,,,766.045,2303.138,16.88
ESP32_5DAEC4,2025-04-13T05:18:00,317.1,0.0265,439.12,OFF,,,,763.2613,2318.372,16.99
